Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price,co2int
1,2,3,34,0,0,0,-56.9,0,0,0,0,0,0,0.4,0.1,0,-3.6,0,3.66666666666667,356.860047820065
1,2,3,34,0,1,0,-56.6,0,0,0,0,0,0,0.4,0.2,0,-3.6,0,3.66666666666667,356.859213446347
1,2,3,34,0,2,0,-56.6,0,0,0,0,0,0,0.4,0.2,0,-3.6,0,3.66666666666667,356.85837907263
1,2,3,34,0,3,0,-56.6,0,0,0,0,0,0,0.4,0.2,0,-3.6,0,3.66666666666667,356.857544698912
1,2,3,34,0,4,0,-56.6,0,0,0,0,0,0,0.4,0.2,0,-3.6,0,3.66666666666667,356.856710325194
1,2,3,34,0,5,0,-56.6,0,0,0,0,0,0,0.4,0.2,0,-3.6,0,3.66666666666667,356.855875951477
1,2,3,34,0,6,0,-56.7,0,0,0,0,0,0,0.4,0.2,0,-3.6,0,3.66666666666667,356.855041577759
1,2,3,34,0,7,0,-56.7,0,0,0,0,0,0,0.4,0.2,0,-3.5,0,3.66666666666667,356.854207204042
1,2,3,34,0,8,0,-56.7,0,0,0,0,0,0,0.4,0.2,0,-3.5,0,3.66666666666667,356.853372830324
1,2,3,34,0,9,0,-56.7,0,0,0,0,0,0,0.4,0.2,0,-3.5,0,3.66666666666667,356.852538456606
1,2,3,34,0,10,0,-56.7,0,0,0,0,0,0,0.4,0.2,0,-3.5,0,3.66666666666667,356.851704082889
1,2,3,34,0,11,0,-56.7,0,0,0,0,0,0,0.4,0.2,0,-3.5,0,3.66666666666667,356.850869709171
1,2,3,34,0,12,0,-56.7,0,0,0,0,0,0,0.4,0.2,0,-3.5,0,3.66666666666667,356.850035335453
1,2,3,34,0,13,0,-56.7,0,0,0,0,0,0,0.3,0.2,0,-3.5,0,3.66666666666667,356.849200961736
1,2,3,34,0,14,0,-56.7,0,0,0,0,0,0,0.3,0.2,0,-3.5,0,3.66666666666667,356.848366588018
1,2,3,34,0,15,0,-56.7,0,0,0,0,0,0,0.3,0.2,0,-3.5,0,3.66666666666667,356.8475322143
