Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price,co2int
3,1,7,7,0,0,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.860047820065
3,1,7,7,0,1,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.859213446347
3,1,7,7,0,2,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.85837907263
3,1,7,7,0,3,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.857544698912
3,1,7,7,0,4,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.856710325194
3,1,7,7,0,5,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.855875951477
3,1,7,7,0,6,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.855041577759
3,1,7,7,0,7,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.854207204042
3,1,7,7,0,8,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,5,356.853372830324
3,1,7,7,0,9,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.852538456606
3,1,7,7,0,10,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.851704082889
3,1,7,7,0,11,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.850869709171
3,1,7,7,0,12,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.850035335453
3,1,7,7,0,13,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.849200961736
3,1,7,7,0,14,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.848366588018
3,1,7,7,0,15,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.8475322143
3,1,7,7,0,16,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.846697840583
3,1,7,7,0,17,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.845863466865
3,1,7,7,0,18,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.845029093148
3,1,7,7,0,19,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.84419471943
3,1,7,7,0,20,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,5,356.843360345712
