Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price,co2int
3,1,7,7,0,0,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.23767995570321,356.860047820065
3,1,7,7,0,1,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.23661137595673,356.859213446347
3,1,7,7,0,2,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.23554279621026,356.85837907263
3,1,7,7,0,3,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.23447421646378,356.857544698912
3,1,7,7,0,4,0,-62.4,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.2334056367173,356.856710325194
3,1,7,7,0,5,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.23233705697083,356.855875951477
3,1,7,7,0,6,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.23126847722435,356.855041577759
3,1,7,7,0,7,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.23019989747787,356.854207204042
3,1,7,7,0,8,0,-62.5,0,0,0,0,0,0,1.4,0.2,0,-6.2,0,3.2291313177314,356.853372830324
3,1,7,7,0,9,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22806273798492,356.852538456606
3,1,7,7,0,10,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22699415823844,356.851704082889
3,1,7,7,0,11,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22592557849197,356.850869709171
3,1,7,7,0,12,0,-62.5,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22485699874549,356.850035335453
3,1,7,7,0,13,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22378841899901,356.849200961736
3,1,7,7,0,14,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22271983925253,356.848366588018
3,1,7,7,0,15,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22165125950606,356.8475322143
3,1,7,7,0,16,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.22058267975958,356.846697840583
3,1,7,7,0,17,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.2195141000131,356.845863466865
3,1,7,7,0,18,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.21844552026663,356.845029093148
3,1,7,7,0,19,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.21737694052015,356.84419471943
3,1,7,7,0,20,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.21630836077367,356.843360345712
3,1,7,7,0,21,0,-62.4,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.2152397810272,356.842525971995
3,1,7,7,0,22,0,-62.3,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.21417120128072,356.841691598277
3,1,7,7,0,23,0,-62.3,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.21310262153424,356.840857224559
3,1,7,7,0,24,0,-62.3,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.21203404178777,356.840022850842
3,1,7,7,0,25,0,-62.3,0,0,0,0,0,0,1.3,0.2,0,-6.2,0,3.21096546204129,356.839188477124
3,1,7,7,0,26,0,-62.3,0,0,0,0,0,0,1.2,0.2,0,-6.2,0,3.20989688229481,356.838354103406
3,1,7,7,0,27,0,-62.2,0,0,0,0,0,0,1.2,0.2,0,-6.2,0,3.20882830254833,356.837519729689
3,1,7,7,0,28,0,-62.2,0,0,0,0,0,0,1.2,0.2,0,-6.2,0,3.20775972280186,356.836685355971
3,1,7,7,0,29,0,-62.2,0,0,0,0,0,0,1.2,0.2,0,-6.2,0,3.20669114305538,356.835850982253
3,1,7,7,0,30,0,-62.1,0,0,0,0,0,0,1.2,0.2,0,-6.2,0,3.2056225633089,356.835016608536
3,1,7,7,0,31,0,-62.1,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.20455398356243,356.834182234818
3,1,7,7,0,32,0,-62.1,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.20348540381595,356.833347861101
3,1,7,7,0,33,0,-62.1,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.20241682406947,356.832513487383
3,1,7,7,0,34,0,-62,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.201348244323,356.831679113665
3,1,7,7,0,35,0,-62,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.20027966457652,356.830844739948
3,1,7,7,0,36,0,-61.9,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.19921108483004,356.83001036623
3,1,7,7,0,37,0,-61.9,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.19814250508357,356.829175992512
3,1,7,7,0,38,0,-61.9,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.19707392533709,356.828341618795
3,1,7,7,0,39,0,-61.8,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.19600534559061,356.827507245077
3,1,7,7,0,40,0,-61.8,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.19493676584413,356.826672871359
3,1,7,7,0,41,0,-61.7,0,0,0,0,0,0,1.2,0.2,0,-6.1,0,3.19386818609766,356.825838497642
3,1,7,7,0,42,0,-61.7,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.19279960635118,356.825004123924
3,1,7,7,0,43,0,-61.7,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.1917310266047,356.824169750207
3,1,7,7,0,44,0,-61.6,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.19066244685823,356.823335376489
3,1,7,7,0,45,0,-61.6,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.18959386711175,356.822501002771
3,1,7,7,0,46,0,-61.5,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.18852528736527,356.821666629054
3,1,7,7,0,47,0,-61.5,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.1874567076188,356.820832255336
3,1,7,7,0,48,0,-61.4,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.18638812787232,356.819997881618
3,1,7,7,0,49,0,-61.4,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.18531954812584,356.819163507901
3,1,7,7,0,50,0,-61.3,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.18425096837937,356.818329134183
3,1,7,7,0,51,0,-61.2,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.18318238863289,356.817494760465
3,1,7,7,0,52,0,-61.2,0,0,0,0,0,0,1.1,0.2,0,-6,0,3.18211380888641,356.816660386748
3,1,7,7,0,53,0,-61.1,0,0,0,0,0,0,1.1,0.2,0,-5.9,0,3.18104522913993,356.81582601303
3,1,7,7,0,54,0,-61.1,0,0,0,0,0,0,1.1,0.2,0,-5.9,0,3.17997664939346,356.814991639312
3,1,7,7,0,55,0,-61,0,0,0,0,0,0,1.1,0.2,0,-5.9,0,3.17890806964698,356.814157265595
3,1,7,7,0,56,0,-60.9,0,0,0,0,0,0,1.1,0.2,0,-5.9,0,3.1778394899005,356.813322891877
3,1,7,7,0,57,0,-60.9,0,0,0,0,0,0,1.1,0.2,0,-5.9,0,3.17677091015403,356.81248851816
3,1,7,7,0,58,0,-60.8,0,0,0,0,0,0,1,0.2,0,-5.9,0,3.17570233040755,356.811654144442
3,1,7,7,0,59,0,-60.8,0,0,0,0,0,0,1,0.2,0,-5.9,0,3.17463375066107,356.810819770724
3,1,7,7,1,0,0,-60.7,0,0,0,0,0,0,1,0.2,0,-5.9,0,3.1735651709146,356.809985397007
3,1,7,7,1,1,0,-60.6,0,0,0,0,0,0,1,0.2,0,-5.9,0,3.17249659116812,356.809151023289
3,1,7,7,1,2,0,-60.5,0,0,0,0,0,0,1,0.1,0,-5.9,0,3.17142801142164,356.808316649571
3,1,7,7,1,3,0,-60.5,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.17035943167517,356.807482275854
3,1,7,7,1,4,0,-60.4,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16929085192869,356.806647902136
3,1,7,7,1,5,0,-60.3,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16822227218221,356.805813528418
3,1,7,7,1,6,0,-60.3,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16715369243573,356.804979154701
3,1,7,7,1,7,0,-60.2,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16608511268926,356.804144780983
3,1,7,7,1,8,0,-60.1,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16501653294278,356.803310407266
3,1,7,7,1,9,0,-60,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.1639479531963,356.802476033548
3,1,7,7,1,10,0,-60,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16287937344983,356.80164165983
3,1,7,7,1,11,0,-59.9,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16181079370335,356.800807286113
3,1,7,7,1,12,0,-59.8,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.16074221395687,356.799972912395
3,1,7,7,1,13,0,-59.7,0,0,0,0,0,0,1,0.1,0,-5.8,0,3.1596736342104,356.799138538677
3,1,7,7,1,14,0,-59.6,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15860505446392,356.79830416496
3,1,7,7,1,15,0,-59.6,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15753647471744,356.797469791242
3,1,7,7,1,16,0,-59.5,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15646789497097,356.796635417524
3,1,7,7,1,17,0,-59.4,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15539931522449,356.795801043807
3,1,7,7,1,18,0,-59.3,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15433073547801,356.794966670089
3,1,7,7,1,19,0,-59.2,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15326215573154,356.794132296372
3,1,7,7,1,20,0,-59.1,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15219357598506,356.793297922654
3,1,7,7,1,21,0,-59,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.15112499623858,356.792463548936
3,1,7,7,1,22,0,-58.9,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.1500564164921,356.791629175219
3,1,7,7,1,23,0,-58.9,0,0,0,0,0,0,0.9,0.1,0,-5.7,0,3.14898783674563,356.790794801501
3,1,7,7,1,24,0,-58.8,0,0,0,0,0,0,0.9,0.1,0,-5.6,0,3.14791925699915,356.789960427783
3,1,7,7,1,25,0,-58.7,0,0,0,0,0,0,0.9,0.1,0,-5.6,0,3.14685067725267,356.789126054066
3,1,7,7,1,26,0,-58.6,0,0,0,0,0,0,0.9,0.1,0,-5.6,0,3.1457820975062,356.788291680348
3,1,7,7,1,27,0,-58.5,0,0,0,0,0,0,0.9,0.1,0,-5.6,0,3.14471351775972,356.78745730663
3,1,7,7,1,28,0,-58.4,0,0,0,0,0,0,0.9,0.1,0,-5.6,0,3.14364493801324,356.786622932913
3,1,7,7,1,29,0,-58.3,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.14257635826677,356.785788559195
3,1,7,7,1,30,0,-58.2,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.14150777852029,356.784954185477
3,1,7,7,1,31,0,-58.1,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.14043919877381,356.78411981176
3,1,7,7,1,32,0,-58,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.13937061902733,356.783285438042
3,1,7,7,1,33,0,-57.9,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.13830203928086,356.782451064325
3,1,7,7,1,34,0,-57.8,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.13723345953438,356.781616690607
3,1,7,7,1,35,0,-57.7,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.1361648797879,356.780782316889
3,1,7,7,1,36,0,-57.6,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.13509630004143,356.779947943172
3,1,7,7,1,37,0,-57.5,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.13402772029495,356.779113569454
3,1,7,7,1,38,0,-57.4,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.13295914054847,356.778279195736
3,1,7,7,1,39,0,-57.3,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.131890560802,356.777444822019
3,1,7,7,1,40,0,-57.2,0,0,0,0,0,0,0.8,0.1,0,-5.6,0,3.13082198105552,356.776610448301
3,1,7,7,1,41,0,-57.1,0,0,0,0,0,0,0.8,0.1,0,-5.5,0,3.12975340130904,356.775776074583
3,1,7,7,1,42,0,-57,0,0,0,0,0,0,0.8,0.1,0,-5.5,0,3.12868482156257,356.774941700866
3,1,7,7,1,43,0,-56.8,0,0,0,0,0,0,0.8,0.1,0,-5.5,0,3.12761624181609,356.774107327148
3,1,7,7,1,44,0,-56.7,0,0,0,0,0,0,0.8,0.1,0,-5.5,0,3.12654766206961,356.773272953431
3,1,7,7,1,45,0,-56.6,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.12547908232313,356.772438579713
3,1,7,7,1,46,0,-56.5,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.12441050257666,356.771604205995
3,1,7,7,1,47,0,-56.4,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.12334192283018,356.770769832278
3,1,7,7,1,48,0,-56.3,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.1222733430837,356.76993545856
3,1,7,7,1,49,0,-56.2,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.12120476333723,356.769101084842
3,1,7,7,1,50,0,-56.1,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.12013618359075,356.768266711125
3,1,7,7,1,51,0,-56,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11906760384427,356.767432337407
3,1,7,7,1,52,0,-55.8,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.1179990240978,356.766597963689
3,1,7,7,1,53,0,-55.7,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11693044435132,356.765763589972
3,1,7,7,1,54,0,-55.6,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11586186460484,356.764929216254
3,1,7,7,1,55,0,-55.5,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11479328485837,356.764094842536
3,1,7,7,1,56,0,-55.4,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11372470511189,356.763260468819
3,1,7,7,1,57,0,-55.3,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11265612536541,356.762426095101
3,1,7,7,1,58,0,-55.1,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11158754561894,356.761591721384
3,1,7,7,1,59,0,-55,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.11051896587246,356.760757347666
3,1,7,7,2,0,0,-54.9,0,0,0,0,0,0,0.7,0.1,0,-5.5,0,3.10945038612598,356.759922973948
3,1,7,7,2,1,0,-54.8,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.1083818063795,356.759088600231
3,1,7,7,2,2,0,-54.7,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.10719036159335,356.844333645407
3,1,7,7,2,3,0,-54.5,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.1059573849628,356.958675958941
3,1,7,7,2,4,0,-54.4,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.10472440833225,357.073018272476
3,1,7,7,2,5,0,-54.3,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.1034914317017,357.18736058601
3,1,7,7,2,6,0,-54.2,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.10225845507115,357.301702899544
3,1,7,7,2,7,0,-54,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.1010254784406,357.416045213079
3,1,7,7,2,8,0,-53.9,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.09979250181005,357.530387526613
3,1,7,7,2,9,0,-53.8,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.0985595251795,357.644729840148
3,1,7,7,2,10,0,-53.7,0,0,0,0,0,0,0.6,0.2,0,-5.5,0,3.09732654854895,357.759072153682
3,1,7,7,2,11,0,-53.5,0,0,0,0,0,0,0.6,0.2,0,-5.4,0,3.0960935719184,357.873414467217
3,1,7,7,2,12,0,-53.4,0,0,0,0,0,0,0.6,0.2,0,-5.4,0,3.09486059528785,357.987756780751
3,1,7,7,2,13,0,-53.3,0,0,0,0,0,0,0.6,0.2,0,-5.4,0,3.0936276186573,358.102099094285
3,1,7,7,2,14,0,-53.2,0,0,0,0,0,0,0.6,0.2,0,-5.4,0,3.09239464202675,358.21644140782
3,1,7,7,2,15,0,-53,0,0,0,0,0,0,0.6,0.2,0,-5.4,0,3.0911616653962,358.330783721354
3,1,7,7,2,16,0,-52.9,0,0,0,0,0,0,0.6,0.2,0,-5.4,0,3.08992868876565,358.445126034889
3,1,7,7,2,17,0,-52.8,0,0,0,0,0,0,0.5,0.2,0,-5.4,0,3.0886957121351,358.559468348423
3,1,7,7,2,18,0,-52.6,0,0,0,0,0,0,0.5,0.2,0,-5.4,0,3.08746273550455,358.673810661958
3,1,7,7,2,19,0,-52.5,0,0,0,0,0,0,0.5,0.2,0,-5.4,0,3.086229758874,358.788152975492
3,1,7,7,2,20,0,-52.4,0,0,0,0,0,0,0.5,0.2,0,-5.4,0,3.08499678224345,358.902495289026
